Flower Name,Effect 1,Effect 2,Effect 3,Effect 4
0008529D, Restore Luck, Resist Frost, Damage Speed, Frost Damage
Ectoplasm,"Collected from dead Ethereal Undead, such as ghosts and wraiths, which are commonly found in all undead dungeons.",,,
,,,,
0001EBFE, Shock Damage, Dispel, Fortify Magicka, Damage Health
Elf Cup Cap,"Harvested from Elf Cups, a mushroom found growing sparsely in the West Weald.",,,
,,,,
0008529E, Damage Willpower, Cure Disease, Fortify Strength, Damage Intelligence
Emetic Russula Cap,"Harvested from Emetic Russula, a mushroom found growing sparsely in the West Weald.",,,
,,,,
0008529F, Restore Agility, Shield, Damage Personality, Damage Endurance
Fennel Seeds,"Harvested from Fennel, a plant found primarily in the northern section of the Gold Coast.",,,
,,,,
000A7926, Restore Fatigue, Damage Intelligence, Damage Magicka, Paralyze
Fire Salts,"Collected from dead Flame Atronachs, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
33675, Fire Damage, Resist Frost, Restore Magicka, Fire Shield
Flax Seeds,"Harvested from Flax, a common flower found in the West Weald.",,,
,,,,
000A7927, Restore Magicka, Feather, Shield, Damage Health
Flour,"Commonly found in grain sacks in kitchens and pantries, but not technically classified as food).",,,
,,,,
33674, Restore Fatigue, Damage Personality, Fortify Fatigue, Reflect Damage
Fly Amanita Cap,"Harvested from Fly Amanita, a common mushroom in cities and in the Great Forest.",,,
,,,,
84471, Restore Agility, Burden, Restore Health, Shock Damage
Foxglove Nectar,"Harvested from Foxglove, a common flower in certain parts of the Nibenay Valley and Nibenay Basin.",,,
,,,,
33687, Resist Poison, Resist Paralysis, Restore Luck, Resist Disease
Frost Salts,"Collected from dead Frost Atronachs, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
00022E5B, Frost Damage, Resist Fire, Silence, Frost Shield
Garlic,"Food, found in several houses and dining halls. It can also be harvested from Garlic Clusters (treated as plants), which are found in some houses' basements (especially in Skingrad).",,,
,,,,
33677, Resist Disease, Damage Agility, Frost Shield, Fortify Strength
Ginkgo Leaf,"Cannot be harvested or collected. There are a few guaranteed samples, but otherwise it is randomly found on alchemists and in some containers.",,,
,,,,
33678, Restore Speed, Fortify Magicka, Damage Luck, Shock Damage
Ginseng,"Harvested from Ginseng Plants, flowers which growly sparsely in the Gold Coast and Nibenay Valley.",,,
,,,,
33679, Damage Luck, Cure Poison, Burden, Fortify Magicka
Glow Dust,"Collected from dead Will-o-the-Wisps, a type of monster found outdoors and in monster dungeons.",,,
,,,,
0001EBE8, Restore Speed, Light, Reflect Spell, Damage Health
Grapes,"Harvested from Grape Vines, which are abundant in several vineyards outside of Skingrad. Can also be found as food in several houses and dining halls.",,,
,,,,
0003367B, Restore Fatigue, Water Walking, Dispel, Damage Health
Green Stain Cup Cap,"Harvested from Green Stain Cups, a mushroom that is common in several regions, but particularly abundant in Blackwood.",,,
,,,,
0008446A, Restore Fatigue, Damage Speed, Reflect Damage, Damage Health
Green Stain Shelf Cap,"Harvested from Green Stain Shelf plants, a rare mushroom that is hard to distinguish from the more common Cup variety.",,,
,,,,
0008529A, Restore Luck, Fortify Luck, Damage Fatigue, Restore Health
Ham,"Food, found in several houses and dining halls.",,,
,,,,
0003367C, Restore Fatigue, Restore Health, Damage Magicka, Damage Luck
Harrada,"Harvested from Harrada Root plants, which are common in the Planes of Oblivion, but also possibly hostile.",,,
,,,,
0003367D, Damage Health, Damage Magicka, Silence, Paralyze
Imp Gall,"Collected from dead Imps, a type of monster found outdoors and in monster dungeons at low levels.",,,
,,,,
0002EE72, Fortify Personality, Cure Paralysis, Damage Health, Fire Damage
Ironwood Nut,"Cannot be harvested, collected, or even bought from alchemists. There are 26 guaranteed samples; otherwise they are found randomly in some containers.",,,
,,,,
0003367E, Restore Intelligence, Resist Fire, Damage Fatigue, Fortify Health
Lady's Mantle Leaves,"Harvested from Lady's Mantle, a flower found near Gottlesfont Priory and in the Gold Coast.",,,
,,,,
000A7928, Restore Health, Damage Endurance, Night-Eye, Feather
Lady's Smock Leaves,"Harvested from Lady's Smock, a flower common in the West Weald.",,,
,,,,
000A7929, Restore Intelligence, Resist Fire, Damage Fatigue, Fortify Health
Lavender Sprig,"Harvested from Lavender, a flower common in the Nibenay Basin.",,,
,,,,
000A792A, Restore Personality, Fortify Willpower, Restore Health, Damage Luck
Leek,"Food, found in several houses and dining halls. It can also be harvested from Leek Plants, which are found growing in a handful of farms.",,,
,,,,
33680, Restore Fatigue, Fortify Agility, Damage Personality, Damage Strength
Lettuce,"Food, widely found in houses and dining halls. It can also be harvested from Lettuce Plants, which are found growing on several farms.",,,
,,,,
33681, Restore Fatigue, Restore Luck, Fire Shield, Damage Personality
Lichor,"Harvested from bluish-purple colored Mana Bloom, a flower that is normally found only in Mankar Camoran's Paradise.",,,
,,,,
0007049E, Restore Magicka,,,
Mandrake Root,"Harvested from Mandrake, a flower found growing in the Colovian Highlands and also near Bravil.",,,
,,,,
33683, Cure Disease, Resist Poison, Damage Agility, Fortify Willpower
Milk Thistle Seeds,"Harvested from Milk Thistle, a flower found throughout mountainous regions (Jerall and Valus Mountains) and in some clusters in the Gold Coast.",,,
,,,,
000A792C, Light, Frost Damage, Cure Paralysis, Paralyze
Minotaur Horn,"Collected from dead Minotaurs and Minotaur Lords, two types of monster found outdoors and in monster dungeons.",,,
,,,,
33568, Restore Willpower, Burden, Fortify Endurance, Resist Paralysis
Monkshood Root Pulp,"Harvested from Monkshood, a common flower in the Great Forest and Nibenay Basin.",,,
,,,,
000A792E, Restore Strength, Damage Intelligence, Fortify Endurance, Burden
Morning Glory Root Pulp,"Harvested from Morning Glory, a flowering vine found growing on houses and walls in the West Weald and Heartlands.",,,
,,,,
000A792F, Burden, Damage Willpower, Frost Shield, Damage Magicka
Mort Flesh,"Collected from dead zombies, which are commonly found in all undead dungeons.",,,
,,,,
33685, Damage Fatigue, Damage Luck, Fortify Health, Silence
Motherwort Sprig,"Harvested from Motherwort, a flower common in most regions of Cyrodiil.",,,
,,,,
000A7930, Resist Poison, Damage Fatigue, Silence, Invisibility
Mugwort Seeds,"Cannot be harvested or collected. The only way to obtain them is by purchasing them from alchemy vendors, who may randomly have some in stock.",,,
,,,,
000A7931, Restore Health,,,
Mutton,"Food, found in several houses and dining halls. Can also be collected from some (but not all) dead sheep.",,,
,,,,
33686, Fortify Health, Damage Fatigue, Dispel, Damage Magicka
Nightshade,"Harvested from Nightshade Plants, a flower found in the West Weald.",,,
,,,,
33688, Damage Health, Burden, Damage Luck, Fortify Magicka
Ogre's Teeth,"Collected from dead Ogres, a type of monster found outdoors and in monster dungeons.",,,
,,,,
33689, Damage Intelligence, Resist Paralysis, Shock Damage, Fortify Strength
Onion,"Food, found in many houses and dining halls.",,,
,,,,
0003368A, Restore Fatigue, Water Breathing, Detect Life, Damage Health
Orange,"Food, found in many houses and dining halls.",,,
,,,,
0007588E, Restore Fatigue, Detect Life, Burden, Shield
Pear,"Food, found in many houses and dining halls.",,,
,,,,
0003368B, Restore Fatigue, Damage Speed, Fortify Speed, Damage Health
Peony Seeds,"Harvested from Peonies, flowers common in the West Weald.",,,
,,,,
000A7932, Restore Strength, Damage Health, Damage Speed, Restore Fatigue
Potato,"Food, widely found in houses and dining halls. Can also be harvested from Potato Plants, which are found growing on several farms.",,,
,,,,
0003368C, Restore Fatigue, Shield, Burden, Frost Shield
Primrose Leaves,"Harvested from Primroses, which are flowers occasionally found growing outside various houses and inns.",,,
,,,,
000A7934, Restore Willpower, Restore Personality, Fortify Luck, Damage Strength
Pumpkin,"Food, widely found in houses and dining halls. Can also be harvested from Pumpkin Vines, which are found growing on some farms.",,,
,,,,
0003368D, Restore Fatigue, Damage Agility, Damage Personality, Detect Life
Purgeblood SaltsVL,"Mined from Purgeblood Crystal Formations, which are only available as part of the Vile Lair download.",,,
,,,,
xx001372, Restore Magicka, Damage Health, Fortify Magicka, Dispel
Radish,"Food, found in many houses and dining halls. Can also be harvested from Radish Plants, which are found growing on several farms.",,,
,,,,
0003368E, Restore Fatigue, Damage Endurance, Chameleon, Burden
Rat Meat,"Collected from dead rats, a ubiquitous nuisance creature.",,,
,,,,
0003368F, Damage Fatigue, Detect Life, Damage Magicka, Silence
Redwort Flower,"Harvested from Domica Redwort, a flower found growing in several clusters in Blackwood and sparsely throughout the West Weald.",,,
,,,,
0002503A, Resist Frost, Cure Poison, Damage Health, Invisibility
Rice,"Food, generally found in grain sacks in kitchens and pantries.",,,
,,,,
33690, Restore Fatigue, Silence, Shock Shield, Damage Agility
Root Pulp,Cannot be harvested or collected. Six guaranteed samples exist; otherwise found randomly in some containers.,,,
,,,,
33691, Cure Disease, Damage Willpower, Fortify Strength, Damage Intelligence
Sacred Lotus Seeds,"Harvested from Sacred Lotus plants, which are flowers that grow in shallow water.",,,
,,,,
000A7936, Resist Frost, Damage Health, Feather, Dispel
Scales,"Collected from dead slaughterfish, an animal found in deep water, including pools in dungeons.",,,
,,,,
33692, Damage Willpower, Water Breathing, Damage Health, Water Walking
Scamp Skin,"Collected from dead Scamps, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
33693, Damage Magicka, Resist Shock, Reflect Damage, Damage Health
Shepherd's Pie,"Food, found in a few houses and dining halls. Also available from Eyja in Rosethorn Hall.",,,
,,,,
000B97E9, Cure Disease, Shield, Fortify Agility, Dispel
S'jirra's Famous Potato Bread,"Only available from S'jirra in Faregyl Inn after you have completed The Potato Snatcher. You receive from one to five loaves (based on level) upon completing the quest. You can also return to S'jirra repeatedly to buy more bread, which can then be used for alchemy.",,,
,,,,
00177A29, Detect Life, Restore Health, Damage Agility, Damage Strength
Somnalius Frond,"Harvested from Somnalius Plants, which are found growing in the Great Forest.",,,
,,,,
33696, Restore Speed, Damage Endurance, Fortify Health, Feather
Spiddal Stick,"Harvested from Spiddal Stick plants, which are common in the Planes of Oblivion, but also tend to be hostile.",,,
,,,,
33697, Damage Health, Damage Magicka, Fire Damage, Restore Fatigue
St. Jahn's Wort Nectar,"Harvested from St. Jahn's Wort, a flower most commonly found in the Great Forest.",,,
,,,,
000A7939, Resist Shock, Damage Health, Cure Poison, Chameleon
Steel-Blue Entoloma Cap,"Harvested from Steel-Blue Entoloma, a mushroom that is common in the Great Forest.",,,
,,,,
0008446B, Restore Magicka, Fire Damage, Resist Frost, Burden
Stinkhorn Cap,"Harvested from Stinkhorn, a mushroom that is found in Blackwood.",,,
,,,,
0008446D, Damage Health, Restore Magicka, Water Walking, Invisibility
Strawberry,"Food, widely found in houses and dining halls. It can also be harvested from Strawberry Bushes found on some farms and in the wild in the West Weald.",,,
,,,,
33699, Restore Fatigue, Cure Poison, Damage Health, Reflect Damage
Summer Bolete Cap,"Harvested from Summer Bolete, a mushroom found in the Great Forest and Nibenay Valley.",,,
,,,,
84470, Restore Agility, Shield, Damage Personality, Damage Endurance
Sweetcake,"Food, found in a few houses and dining halls. Sweetcakes are less common than Sweetrolls.",,,
,,,,
0003369A, Restore Fatigue, Feather, Restore Health, Burden
Sweetroll,"Food, found in several houses and dining halls.",,,
,,,,
0003369B, Restore Fatigue, Resist Disease, Damage Personality, Fortify Health
Taproot,"Collected from dead Spriggans, a type of monster found outdoors and in monster dungeons.",,,
,,,,
000AF06E, Restore Luck, Damage Endurance, Resist Poison, Shock Shield
Tiger Lily Nectar,"Harvested from both Tiger Lilies and Lily of the Valleys, two types of flower that are most commonly found in the Great Forest.",,,
,,,,
000A792B, Restore Endurance, Damage Strength, Water Walking, Damage Willpower
Tinder Polypore Cap,"Harvested from Tinder Polypore, a mushroom common in the Valus Mountains.",,,
,,,,
0008446F, Restore Willpower, Resist Disease, Invisibility, Damage Magicka
Tobacco,"Technically treated as a food and can be found in a few houses. It can also be harvested from Tobacco Plants, which are found on several farms.",,,
,,,,
0003369D, Restore Fatigue, Resist Paralysis, Damage Magicka, Dispel
Tomato,"Food, widely found in houses and dining halls. It can also be harvested from Tomato Plants, which are found growing on many farms.",,,
,,,,
0003369E, Restore Fatigue, Detect Life, Burden, Shield
Troll Fat,"Collected from dead Trolls, a type of monster found outdoors and in monster dungeons.",,,
,,,,
00026B5C, Damage Agility, Fortify Personality, Damage Willpower, Damage Health
Vampire Dust*,"Collected from dead Vampires, found in a range of vampire dungeons. There is also a rare variant listed below.",,,
,,,,
9182, Silence, Resist Disease, Frost Damage, Invisibility
Venison,"Food, found in several houses and dining halls. It can also be collected from dead deer, which are animals found outdoors throughout Cyrodiil.",,,
,,,,
0002229B, Restore Health, Feather, Damage Health, Chameleon
Viper's Bugloss Leaves,"Harvested from Viper's Bugloss, a flower which is abundant in the Great Forest.",,,
,,,,
000A793B, Resist Paralysis, Night-Eye, Burden, Cure Paralysis
Void Salts,"Collected from dead Storm Atronachs, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
0003369F, Restore Magicka, Damage Health, Fortify Magicka, Dispel
Water Hyacinth Nectar,"Harvested from Water Hyacinth, a flower found growing in shallow water.",,,
,,,,
000A793C, Damage Luck, Damage Fatigue, Restore Magicka, Fortify Magicka
Watermelon,"Food, found in several houses and dining halls. It can also be harvested from Watermelon Vines, which grow on a few farms.",,,
,,,,
000336A0, Restore Fatigue, Light, Burden, Damage Health
Wheat Grain,"Food, found in grain sacks in kitchens and pantries. It can also be harvested from Wheat Stalks, which grow on a few farms.",,,
,,,,
000336A1, Restore Fatigue, Damage Magicka, Fortify Health, Damage Personality
White Seed Pod,"Harvested from Goldenrod, a flower found in the Gold Coast.",,,
,,,,
000336A2, Restore Strength, Water Breathing, Silence, Light
Wisp Stalk Caps,"Harvested from Wisp Stalks, a mushroom that is only found growing underground (i.e., in caves and mines).",,,
,,,,
0006251F, Damage Health, Damage Willpower, Damage Intelligence, Fortify Speed
Wormwood Leaves,"Harvested from Wormwood, a plant found growing in the Jerall Mountains.",,,
,,,,
000A793E, Fortify Fatigue, Invisibility, Damage Health, Damage Magicka
