Centriss|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|0.00%
Light + Dark|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|24.50%|4.50%|0.50%|0.50%|14.00%|0.50%|0.50%|12.00%|4.50%|0.50%|4.50%|0.50%|0.50%|13.00%|0.50%|34.00%|0.50%|0.50%|0.50%|0.50%
Make + Break|0.50%|0.50%|0.50%|0.50%|0.50%|5.00%|5.00%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Meta|0.50%|0.50%|0.50%|0.50%|59.00%|4.50%|4.50%|24.00%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Mind Control|0.50%|17.00%|0.50%|0.50%|0.50%|5.00%|5.00%|24.00%|0.50%|22.00%|0.50%|0.50%|4.50%|0.50%|45.00%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|20.00%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Movement|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|8.00%|0.50%|0.50%|19.00%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|66.00%|0.50%|5.50%|0.50%|0.01%|45.00%|4.00%|4.00%|4.00%
Necromantic|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|1.00%|0.50%|23.00%|0.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|1.00%|15.00%|0.50%|0.01%|45.00%|4.00%|4.00%|4.00%
Plant|3.00%|0.50%|0.50%|22.00%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|5.00%|16.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|5.00%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Protection|10.50%|0.50%|1.00%|0.50%|0.50%|4.50%|4.50%|0.50%|16.00%|0.50%|0.50%|0.50%|5.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|5.00%|24.00%|5.00%|0.50%|89.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Sound|0.50%|0.50%|75.00%|0.50%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|33.00%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|1.00%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Water|0.50%|0.50%|0.50%|23.00%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|24.00%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|5.00%|0.50%|40.00%|20.00%|0.50%|31.81%|0.50%|0.50%|57.50%|57.50%
Weather|1.00%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|3.00%|0.50%|0.50%|33.00%|4.50%|0.50%|0.50%|70.00%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|40.00%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Price|$0.19 |$0.24 |$0.21 |$0.21 |$1.58 |$0.19 |$0.19 |$0.58 |$0.25 |$1.58 |$4.00 |$5.00 |$0.19 |$10.00 |$0.35 |$5.00 |$0.35 |$0.35 |$0.19 |$0.19 |$0.42 |$0.04 |$0.43 |$3.00 |$100.00 |$9.00 |$100.00 |$1000.00 |$18.98 |$18.98 |$18.98 
Culinary|Bitter(-2)|Base(-2)|Bitter(-5)|Base(+0)|Spicy(-8)|Base(0)|Sweet(+1)|Salty(-8)|Bitter(-12)|Savory(-13)|Bitter(-2)|Bitter(-5)|Base(+2)|Sweet(-4)|Sour(-7)|Spicy(-5)|Sweet(+5)|Spicy(-4)|Base(+1)|Base(-1)|Sweet(+3)|Base(+3)|Base(+1)|Sweet(-1)|Sour(-15)|Base(-9)|Base(-20)|Base(-23)|Sweet(-30)|Sweet(+5)|Sweet(+5)
Poison|||||||||Innate Attack: 1D-3 (Trigger: Very Common -10%, Resistible: HT-5 -5%) [0]|Innate Attack: 2D+2, Blood Agent (no AoE) -40%, Contact Agent (no AoE) -30%, Cyclic: 1 sec +100%) [30]||||||||Fiery Poison|||||||||||||
Defenses||||Tough Outer Shell||||Very Stiff|Metallic|||||Contains the Properties of its Elemental Affinity|Mild Psychic Affects||||||||||Thorns||Thorns (Innate Attack: 2D-2 pi- (Accessibility (Target): only affects very common -10%, Delay: triggered +50%) [6])|Thorns(-3)|Tough(-16 to harvest)||
Chemical|VLAdAsES|AsLSAdEV|AdLAsLSV|LAdAsESV|VELAsAdS|LSAdAsEV|SLAsAdEV|AsSEVAdL|SEAsAdLV|LSVAdAsE|AsAdELVS|AsAdELVS|ESLAdAsV|VEAsAdLS|VLEAsAdS|VEAsAdLS|SLAsAdVE|VEAdAsLS|SLAdAsEV|LSAdAsEV|AsAdLEVS|SAdAsLVE|SLVEAsAd|AsAdLEVS|EVSAdAsL|All Properties give +1|ES++(other things are very hard)|EVAsAdLS(Xprmtl)(Insub Meta Phase)|(S++) (-20 all others)||
Symbolic|||||Known to be magically active|Its a Cabbage...|Its a Carrot|Common Grass of the First City|Main source of ore for some plain dwelling societies||Modest Importance to Wanderlands Tribes|||||||||||Its Wheat|||Heraldic Flower of an Ancient Centriss House||||This is Very Important in Pan.||
Antidote||||||||NO||||Tier 4|||||||Tier 2 Antidote||Tier 4 Antidote|||Tier 2|||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
Lubricant(L)||L|||||||||||||||||||||||||||||
Adhesive(Ad)||Ad|||||||||||||||||||||||||||||
Electrical(E)||E|||||||||||||||||||||||||||||
Astringent(As)||As|||||||||||||||||||||||||||||
Structural(S)||S|||||||||||||||||||||||||||||
Volatile(V)||V|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
Sweet(Sw)|Sw||||||||||||||||||||||||||||||
Sour(So)|So||||||||||||||||||||||||||||||
Bitter(B)|B||||||||||||||||||||||||||||||
Salty(Sa)|Sa||||||||||||||||||||||||||||||
Umami(U)|U||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|% Sum|Relative Occurance||Base Price|0.01||||||||||||||||||||||||||
Metal|160.01%|5%|||||||||||||||||||||||||||||
Animal|170.01%|6%|||||||||||||||||||||||||||||
Body Control|125.01%|4%|||||||||||||||||||||||||||||
Comm and Emp|97.01%|3%|||||||||||||||||||||||||||||
Earth|104.01%|3%|||||||||||||||||||||||||||||
Enchantment|62.51%|2%|||||||||||||||||||||||||||||
Fire|190.51%|6%|||||||||||||||||||||||||||||
Food|91.51%|3%|||||||||||||||||||||||||||||
Healing|220.01%|7%|||||||||||||||||||||||||||||
Illusion + Creation|45.01%|2%|||||||||||||||||||||||||||||
Knowledge|177.00%|6%|||||||||||||||||||||||||||||
Light + Dark|130.00%|4%|||||||||||||||||||||||||||||
Make + Break|35.51%|1%|||||||||||||||||||||||||||||
Meta|116.51%|4%|||||||||||||||||||||||||||||
Mind Control|161.01%|5%|||||||||||||||||||||||||||||
Movement|182.51%|6%|||||||||||||||||||||||||||||
Necromantic|124.01%|4%|||||||||||||||||||||||||||||
Plant|79.51%|3%|||||||||||||||||||||||||||||
Protection|178.51%|6%|||||||||||||||||||||||||||||
Sound|142.01%|5%|||||||||||||||||||||||||||||
Water|228.81%|8%|||||||||||||||||||||||||||||
Weather|179.01%|6%|||||||||||||||||||||||||||||
Total|3000.00%||||||||||||||||||||||||||||||
